,Company Name,PE Ratio,ROE,Net Profit,EPS,Cash Flow,Cash Conversion Cycle
0,Housing Development Finance Corporation Ltd,20.6,13.2,"['4,492', '3,094', '10,389', '3,835', '4,116', '3,614', '4,600', '5,177']","['26.09', '17.94', '60.16', '22.18', '23.76', '20.83', '25.61', '28.76']","['3,071', '542', '-615', '992', '2,000']",[]
1,Bajaj Finance Ltd,71.2,12.8,"['1,176', '1,195', '1,506', '1,614', '948', '962', '965', '1,146']","['20.35', '20.61', '25.98', '26.83', '15.76', '15.99', '16.01', '19.02']","['-557', '1,100', '-972', '13', '9']",[]
2,Bajaj Finserv Ltd,61.2,13.3,"['839', '845', '1,204', '1,126', '194', '1,215', '986', '1,290']","['52.71', '53.12', '75.64', '70.73', '12.22', '76.36', '61.98', '81.06']","['-221', '518', '-933', '623', '478']","['0', '27', '36', '16', '22']"
3,SBI Cards & Payment Services Ltd,64.4,16.9,"['249', '346', '381', '435', '84', '393', '206', '210']","['', '', '', '', '0.89', '4.19', '2.19', '2.23']","['78', '130', '-17', '9', '190']",[]
4,Bajaj Holdings & Investment Ltd,15.3,11.2,"['791', '669', '1,029', '933', '361', '679', '872', '1,150']","['71.11', '60.14', '92.43', '83.80', '32.47', '61.02', '78.36', '103.29']","['', '116', '45', '-228', '27']","['0', '0', '0', '1', '0']"
5,Cholamandalam Investment & Finance Company Ltd,32.3,17.1,"['298', '315', '307', '389', '42', '431', '435', '410']","['3.81', '4.03', '3.93', '4.98', '0.52', '5.26', '5.30', '5.00']","['-528', '-274', '83', '317', '219']",[]
6,Muthoot Finance Ltd,13.3,27.8,"['512', '530', '858', '815', '815', '841', '894', '991']","['12.77', '13.23', '21.41', '20.33', '20.33', '20.96', '22.29', '24.71']","['-307', '626', '-568', '809', '617']","['1', '55', '59', '78', '86']"
7,HDFC Asset Management Company Ltd,34.4,30.1,"['276', '292', '368', '353', '250', '302', '338', '369']","['12.99', '13.73', '17.32', '16.58', '11.74', '14.21', '15.88', '17.34']","['-2', '0', '1', '-1', '26']","['9', '20', '18', '15', '10']"
8,Shriram Transport Finance Company Ltd,14.3,12.5,"['749', '637', '768', '882', '224', '319', '689', '734']","['29.59', '25.19', '30.36', '34.86', '8.86', '12.61', '24.40', '26.00']","['-2,135', '-668', '2,051', '661', '843']",[]
9,Power Finance Corporation Ltd,2.27,21.3,"['2,798', '2,185', '1,871', '2,597', '469', '2,683', '3,249', '2,894']","['10.60', '8.28', '7.09', '9.84', '1.78', '10.16', '12.31', '10.96']","['1,041', '919', '-390', '2,868', '-4,793']","['0', '0', '0', '0', '0']"
10,Max Financial Services Ltd,149,15.5,"['131', '34', '42', '105', '-36', '131', '56', '176']","['4.86', '1.25', '1.56', '3.90', '-1.34', '4.85', '2.09', '5.10']","['24', '88', '129', '-129', '39']","['21', '-434', '-355', '-315', '-281']"
11,Indian Railway Finance Corporation Ltd,4.79,13.3,"['907', '655', '892', '995', '1,047', '1,483', '1,502', '1,501']","['', '0.55', '0.75', '0.84', '0.88', '1.13', '1.15', '1.15']","['1,206', '-1,204', '0', '3', '-2']","['0', '0', '0', '0', '0']"
12,Aditya Birla Capital Ltd,16.6,8.56,"['258', '270', '256', '250', '144', '198', '264', '289']","['1.17', '1.23', '1.16', '1.08', '0.60', '0.82', '1.09', '1.20']","['0', '-151', '678', '150', '-94']","['17', '18', '23', '12', '9']"
