,Company Name,PE Ratio,ROE,Net Profit,EPS,Cash Flow,Cash Conversion Cycle
0,Tata Consultancy Services Ltd,37.3,39.1,"['8,126', '8,131', '8,042', '8,118', '8,049', '7,008', '7,475', '8,701']","['21.66', '21.67', '21.43', '21.63', '21.45', '18.68', '19.92', '23.19']","['-435', '524', '445', '-152', '-374']","['71', '80', '86', '82', '81']"
1,Infosys Ltd,33.4,27.2,"['4,074', '3,798', '4,019', '4,457', '4,321', '4,233', '4,845', '5,197']","['9.32', '8.69', '9.44', '10.47', '10.15', '9.94', '11.37', '12.20']","['1,068', '4,555', '3,925', '1,241', '4,118']","['56', '62', '64', '64', '61']"
2,HCL Technologies Ltd,28.7,19.8,"['2,550', '2,230', '2,711', '2,944', '3,172', '2,931', '3,143', '3,969']","['9.40', '8.22', '9.99', '10.85', '11.69', '10.80', '11.58', '14.63']","['1,176', '52', '153', '44', '307']","['76', '61', '68', '64', '65']"
3,Wipro Ltd,25.4,19.6,"['2,484', '2,388', '2,553', '2,456', '2,326', '2,390', '2,466', '2,968']","['4.12', '3.96', '4.47', '4.30', '4.07', '4.18', '4.31', '5.19']","['1,576', '-374', '1,652', '717', '2,936']","['-21', '-172', '-155', '-459', '-539']"
4,Tech Mahindra Ltd,27.2,19.0,"['1,132', '959', '1,124', '1,146', '804', '972', '1,065', '1,310']","['11.52', '9.95', '11.65', '11.87', '8.32', '10.06', '11.01', '13.54']","['-314', '44', '-26', '298', '915']","['82', '89', '88', '90', '84']"
5,Larsen & Toubro Infotech Ltd,48.3,27.5,"['360', '382', '388', '366', '416', '397', '430', '494']","['20.77', '22.00', '22.32', '21.06', '23.88', '22.79', '24.63', '28.30']","['42', '-23', '-8', '-9', '32']","['74', '75', '77', '73', '67']"
6,Mindtree Ltd,41.8,29.7,"['198', '93', '135', '197', '206', '213', '254', '326']","['12.08', '5.64', '8.20', '11.97', '12.53', '12.94', '15.40', '19.82']","['2', '6', '14', '65', '-7']","['67', '68', '78', '70', '72']"
7,Mphasis Ltd,41.8,19.7,"['266', '265', '273', '294', '353', '275', '299', '326']","['14.29', '14.21', '14.67', '15.75', '18.94', '14.75', '16.03', '17.43']","['-0', '92', '136', '-45', '-7']","['87', '40', '43', '41', '109']"
8,L&T Technology Services Ltd,52.7,20.7,"['192', '204', '206', '204', '205', '117', '166', '186']","['18.41', '19.60', '19.78', '19.56', '19.60', '11.21', '15.78', '17.72']","['86', '-15', '-12', '81', '52']","['96', '86', '80', '94', '76']"
9,Tata Elxsi Ltd,86.2,29.9,"['71', '49', '50', '75', '82', '69', '79', '105']","['11.45', '7.83', '8.00', '12.11', '13.18', '11.06', '12.67', '16.89']","['-2', '7', '3', '-3', '29']","['116', '-551', '88', '81', '74']"
10,Oracle Financial Services Software Ltd,16.6,26.3,"['326', '377', '359', '457', '269', '480', '392', '430']","['38.00', '43.98', '41.80', '53.20', '31.35', '55.82', '45.59', '49.94']","['194', '-354', '183', '-11', '15']","['86', '99', '104', '76', '66']"
11,Persistent Systems Ltd,47.0,16.1,"['84', '82', '86', '88', '84', '90', '102', '121']","['10.56', '10.79', '11.26', '11.51', '10.97', '11.78', '13.35', '15.82']","['173', '-167', '20', '7', '33']","['83', '74', '74', '69', '66']"
12,Coforge Ltd,44.8,19.3,"['106', '88', '120', '123', '114', '80', '121', '122']","['17.08', '14.17', '19.15', '19.73', '18.18', '13.20', '19.93', '20.14']","['-16', '-35', '61', '37', '14']","['74', '-126', '77', '-424', '-257']"
13,Tanla Platforms Ltd,44.8,44.6,"['10', '-76', '-47', '1', '-89', '79', '81', '94']","['0.84', '-5.39', '-3.27', '0.05', '-6.11', '5.16', '5.99', '6.87']","['-23', '-60', '-17', '-47', '-5']","['171', '203', '304', '260', '123']"
14,Affle India Ltd,78.4,45.9,"['14', '13', '16', '21', '15', '19', '27', '31']","['1.19', '1.09', '1.22', '1.68', '1.20', '1.47', '2.11', '2.40']","['9', '6', '49', '-20']","['36', '70', '81', '76']"
15,KPIT Technologies Ltd,62.1,12.6,"['30', '31', '36', '43', '37', '24', '28', '42']","['1.10', '1.12', '1.31', '1.56', '1.35', '0.88', '1.02', '1.52']","['0', '201', '75', '10']","['', '337', '76', '55']"
16,Happiest Minds Technologies Ltd,92.5,39.9,"['27', '22', '5', '49', '34', '42', '37', '35']","['', '', '', '', '2.32', '2.87', '2.51', '2.38']","['4', '0', '-0', '', '']","['171', '138', '124', '73', '57']"
