,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
0,IP Rings,-5,0.00,0.91,"['3.43', '1.18', '2.41', '2.42']","['4.71', '1.08', '7.81', '7.82']","['9.17', '8.41', '13.67', '14.56']"
1,JBM Auto,0,40.46,2.67,"['2.53', '2.67', '3.50', '3.27']","['6.61', '9.83', '15.27', '16.88']","['12.85', '17.01', '21.35', '20.81']"
2,Rajratan Global,2,14.98,3.58,"['5.95', '4.26', '4.15', '3.51']","['23.88', '19.50', '19.31', '15.44']","['26.86', '23.94', '23.54', '13.37']"
3,Autoline Ind,-1,-2.81,6.18,"['-0.32', '-0.99', '-0.30', '-0.42']","['-206.00', '-163.55', '-4.64', '-76.29']","['-6.73', '-20.15', '-4.38', '-5.30']"
4,Hind Composites,0,19.76,0.48,"['127.56', '47.23', '82.88', '92.80']","['2.41', '1.37', '2.32', '3.14']","['2.85', '1.30', '2.29', '3.64']"
5,Munjal Showa,7,21.21,0.86,"['213.88', '138.44', '829.91', '706.98']","['4.07', '6.72', '10.25', '13.60']","['4.83', '9.27', '13.96', '18.43']"
6,Sandhar Technol,0,21.37,1.54,"['6.57', '5.28', '7.39', '3.37']","['7.17', '7.46', '13.22', '10.25']","['10.47', '12.45', '23.42', '21.70']"
7,Omax Autos,17,-8.56,0.30,"['-0.72', '1.69', '1.18', '1.02']","['-3.52', '16.06', '0.18', '3.32']","['-6.73', '7.46', '10.89', '10.63']"
8,Jay Ushin,0,-45.17,2.49,"['1.04', '1.10', '1.79', '1.74']","['-5.52', '3.46', '15.43', '16.42']","['9.62', '12.23', '19.31', '13.42']"
9,Auto Corp Goa,-9,0.00,1.49,"['-144.73', '80.23', '250.10', '82.23']","['-7.50', '5.48', '9.91', '9.89']","['-9.36', '7.78', '16.21', '9.32']"
10,Sundaram-Clayto,496,19.26,2.14,"['1.95', '2.00', '2.55', '3.26']","['11.14', '13.68', '17.46', '15.71']","['15.11', '18.35', '19.51', '19.77']"
11,Talbros Auto,0,6.43,1.02,"['3.09', '1.48', '2.59', '2.36']","['15.80', '6.16', '13.27', '12.76']","['15.40', '10.61', '17.35', '16.24']"
12,Menon Pistons,10,9.71,1.04,"['60.52', '22.28', '34.33', '12.99']","['10.73', '5.88', '12.96', '9.82']","['14.47', '7.63', '18.03', '9.45']"
13,Banco Products,19,8.84,1.21,"['42.42', '37.00', '36.79', '93.94']","['13.73', '10.79', '8.30', '14.46']","['16.89', '14.40', '17.15', '18.69']"
14,Federal-Mogul,123,2811.00,1.91,"['60.23', '14.83', '30.05', '24.20']","['0.53', '3.97', '11.00', '12.54']","['5.39', '5.32', '16.77', '19.41']"
15,Escorts,-63,13.98,3.46,"['87.62', '37.89', '37.34', '18.50']","['17.33', '15.14', '17.91', '15.66']","['22.55', '20.14', '26.15', '23.83']"
16,Steel Str Wheel,-38,11.05,1.46,"['2.62', '2.18', '2.18', '2.52']","['6.57', '3.35', '12.48', '12.85']","['10.67', '8.73', '15.02', '13.23']"
17,Sal Automotive,0,40.72,1.18,"['2.63', '-2.11', '14.64', '40.82']","['2.50', '3.74', '10.39', '10.89']","['3.58', '-2.36', '14.58', '14.88']"
18,M&M,-117,48.70,2.12,"['1.86', '1.80', '2.45', '2.65']","['4.35', '0.31', '13.29', '20.42']","['9.85', '9.60', '11.75', '12.01']"
19,Bajaj Auto,231,21.86,3.90,"['892.16', '2,017.02', '1,399.18', '4,335.20']","['17.80', '24.06', '21.20', '20.65']","['21.25', '28.63', '26.16', '27.00']"
20,Mah Scooters,-74,462.72,0.25,"['--', '--', '--', '--']","['0.05', '2.19', '0.64', '0.73']","['0.05', '2.33', '0.63', '0.73']"
21,Ceat,8,14.57,1.90,"['3.74', '3.10', '5.55', '4.89']","['13.02', '7.95', '9.11', '9.13']","['12.92', '9.26', '11.43', '14.37']"
22,Frontier Spring,0,12.67,1.76,"['22.31', '28.05', '13.39', '5.15']","['13.09', '27.35', '22.24', '11.99']","['16.74', '31.90', '26.12', '17.98']"
23,TVS Motor,521,46.77,7.26,"['1.95', '2.07', '2.63', '3.75']","['15.52', '19.03', '22.22', '24.36']","['15.51', '18.95', '20.49', '23.66']"
24,The Hi-Tech Gea,11,11.26,1.01,"['2.46', '1.57', '2.99', '3.19']","['8.97', '2.99', '13.09', '14.21']","['8.66', '8.76', '14.72', '14.00']"
25,Jagan Litech,0,10.40,1.00,"['125.46', '98.45', '17.24', '24.78']","['9.67', '8.69', '5.43', '3.03']","['12.60', '10.84', '6.76', '5.33']"
