,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
0,Tai Industries,-1,2.15,0.33,"['--', '95.61', '107.39', '--']","['15.39', '1.79', '11.31', '3.21']","['15.91', '1.38', '11.68', '2.80']"
1,IVP,1,22.24,1.33,"['2.68', '-0.26', '1.03', '5.99']","['5.94', '-12.01', '4.14', '12.81']","['17.87', '-3.68', '10.58', '23.45']"
2,Megastar Foods,0,0.00,1.01,"['3.41', '2.46', '2.10', '1.55']","['16.12', '15.39', '12.96', '15.07']","['25.05', '28.06', '24.08', '23.72']"
3,Jatalia Global,0,-7.64,0.75,"['-238.71', '-4.61', '1.45', '1.87']","['-9.78', '-34.05', '7.63', '9.78']","['-38.72', '-27.18', '36.07', '31.68']"
4,Varun Beverages,0,0.00,9.41,"['9.33', '2.53', '3.23', '3.03']","['17.01', '9.33', '14.09', '14.65']","['18.15', '11.78', '16.23', '14.99']"
5,SC Agrotech,1,21.63,2.52,"['112.55', '147.36', '105.10', '113.16']","['12.23', '15.45', '16.39', '14.90']","['7.15', '5.85', '4.80', '5.66']"
6,Arunjyoti Bio,0,20.79,0.73,"['59.74', '679.61', '307.25', '-254.81']","['3.50', '5.44', '2.47', '-14.30']","['4.82', '6.99', '2.48', '-12.81']"
7,Apex Frozen,2,14.64,1.47,"['4.81', '8.59', '15.30', '13.94']","['10.06', '15.31', '17.12', '26.16']","['16.35', '21.75', '27.49', '38.81']"
8,Madhusudan Ind,0,0.00,0.29,"['--', '--', '--', '--']","['16.97', '-5.57', '0.93', '5.80']","['20.88', '-7.44', '1.26', '7.07']"
9,Transglobe,0,-130.72,-880.36,"['-17.83', '17.83', '--', '--']","['0.00', '1,705.96', '0.00', '-1,641.24']","['290.16', '137.10', '112.28', '-1,642.31']"
10,Tyroon Tea,0,2.35,0.62,"['48.84', '-10.53', '-8.54', '1.04']","['25.54', '-7.26', '-6.11', '-1.12']","['27.22', '-9.08', '-3.55', '1.22']"
11,Ugar Sugar Work,-4,11.41,2.43,"['1.73', '1.64', '1.14', '']","['21.18', '21.22', '8.49', '']","['37.33', '44.64', '60.75', '']"
12,Kanco Tea,1,2.42,0.39,"['3.55', '0.93', '1.80', '1.13']","['16.10', '-2.30', '6.11', '0.54']","['17.06', '5.38', '9.88', '5.81']"
13,Silver Oak,0,14.47,0.72,"['-0.50', '-1.69', '-3.95', '-16.46']","['3.36', '-31.27', '-13.95', '-21.40']","['-1.45', '-4.34', '-6.41', '-24.07']"
14,Warren Tea,0,0.00,0.52,"['1.03', '-4.94', '-4.89', '-1.88']","['29.28', '-34.03', '-17.10', '-8.04']","['4.23', '-22.67', '-16.62', '-5.28']"
