,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
0,Aryaman Fin Ser,7,60.42,1.41,"['1.38', '1.47', '1.99', '6.95']","['2.16', '3.02', '5.78', '9.66']","['7.09', '9.46', '10.86', '10.31']"
1,NDA Securities,2,10.02,0.42,"['5.54', '-7.19', '0.06', '3.64']","['5.44', '-15.87', '-1.94', '10.10']","['6.21', '-13.13', '0.11', '13.59']"
2,Shristi Infra,2,0.00,1.02,"['0.10', '0.40', '0.52', '1.12']","['-55.71', '-22.66', '-4.45', '0.53']","['0.57', '3.59', '2.48', '2.93']"
3,Goldcrest Fin,-4,0.00,0.68,"['459.41', '44.42', '--', '121.00']","['16.63', '1.79', '10.56', '6.58']","['18.68', '3.62', '11.71', '6.32']"
4,Bengal & Assam,34,3.05,0.40,"['2.18', '1.43', '1.87', '3.60']","['12.98', '13.48', '12.02', '9.97']","['16.90', '15.64', '19.96', '6.14']"
5,Ironwood Edu.,0,-7.86,0.99,"['-5.15', '-4.61', '-48.31', '--']","['-12.58', '-6.59', '-14.83', '-6.59']","['-7.57', '-4.13', '-13.56', '-6.15']"
6,Mukesh Babu Fin,6,7.74,0.60,"['2.07', '2.11', '1.49', '8.64']","['7.78', '7.51', '2.18', '11.53']","['12.31', '13.75', '5.59', '12.63']"
7,Maha Rasht Apex,1,2.74,0.62,"['178.25', '-2.29', '4.33', '3.74']","['22.64', '11.90', '9.88', '59.31']","['3.63', '-0.76', '4.59', '5.74']"
8,Magellanic,-4,92.11,3.08,"['2.22', '7.80', '23.13', '36.19']","['3.33', '10.92', '16.36', '11.19']","['1.79', '13.03', '20.43', '17.85']"
9,Joindre Capital,24,7.42,0.37,"['12.00', '6.63', '16.01', '18.20']","['5.04', '1.94', '4.08', '10.39']","['7.64', '3.07', '5.97', '12.98']"
10,J.Taparia Proj,0,-190.00,0.20,"['-2.86', '-6.74', '-4,693.78', '--']","['-0.11', '-0.33', '-0.87', '-0.65']","['-0.08', '-0.28', '-0.86', '-0.65']"
11,Crest Ventures,8,80.67,0.41,"['0.16', '2.50', '2.20', '8.07']","['0.51', '7.92', '9.04', '22.06']","['0.26', '4.05', '3.41', '12.81']"
12,Transcorp Intl,6,-6.27,0.65,"['-0.34', '-1.35', '-1.93', '8.16']","['-10.38', '-20.06', '-16.29', '35.52']","['-3.12', '-12.76', '-12.74', '30.77']"
13,Sasta Sundar,-5,-35.67,1.85,"['-14.60', '-81.45', '-20.30', '-35.22']","['-5.20', '-18.46', '-26.35', '-6.77']","['-6.57', '-22.92', '-19.15', '-5.69']"
14,Williamson Mago,1,0.39,-0.18,"['5.14', '-0.86', '0.42', '0.46']","['-44.90', '0.00', '0.00', '-56.27']","['65.35', '81.97', '5.96', '9.99']"
15,India Finsec,5,0.00,0.35,"['2.25', '1.89', '4.50', '859.46']","['8.99', '3.62', '3.85', '4.16']","['15.72', '13.96', '6.29', '3.62']"
16,Ganges Securiti,2,6.03,0.18,"['141.34', '56.34', '18.28', '14.69']","['2.89', '3.42', '2.39', '9.78']","['3.46', '4.19', '2.92', '12.32']"
17,KJMC Corporate,-1,-3.95,0.12,"['-10.52', '-6.37', '-2.73', '37.35']","['-2.98', '-2.63', '-5.11', '14.94']","['-1.97', '-1.87', '-1.25', '21.38']"
18,Hb Stockhol,0,1.01,0.23,"['401.74', '-170.62', '-99.41', '-1.95']","['22.11', '-24.29', '-15.39', '-1.25']","['21.64', '-23.25', '-14.50', '-0.19']"
19,Systematix Corp,21,147.52,2.52,"['1.30', '0.53', '0.80', '1.97']","['1.70', '-5.89', '-3.66', '10.21']","['5.33', '6.11', '12.90', '18.20']"
20,Anjani Finance,0,10.95,0.24,"['1.87', '2.21', '1.96', '']","['2.65', '4.06', '2.16', '']","['5.10', '3.16', '3.71', '']"
