,Company Name,Cash Flow,PE Ratio,PBV,ICR,ROE,ROCE
0,BLS Infotech,0,0.00,0.20,"['--', '--', '--', '--']","['0.00', '0.00', '-0.32', '-0.57']","['0.00', '0.00', '-0.32', '-0.57']"
1,Brightcom Group,0,0.69,0.13,"['6,221.59', '98.99', '47.18', '40.90']","['14.81', '15.57', '14.78', '14.40']","['20.17', '21.95', '20.61', '21.33']"
2,AXISCADES Techn,7,-6.93,0.50,"['2.33', '2.35', '0.05', '1.01']","['-7.25', '9.44', '-2.85', '-2.82']","['13.04', '14.80', '0.27', '2.88']"
3,Goldstone Tech,-1,-27.90,0.37,"['0.53', '1.21', '1.46', '1.54']","['-1.30', '-0.28', '-2.01', '3.52']","['0.25', '0.80', '0.92', '1.00']"
4,Moschip Tech,2,-39.40,6.81,"['-0.06', '-3.56', '-4.51', '-1.36']","['-17.28', '-73.88', '-28.04', '-30.09']","['-0.84', '-32.79', '-19.61', '-16.82']"
5,ERP Soft System,0,51.87,1.16,"['--', '--', '631.71', '--']","['2.24', '0.88', '2.03', '4.28']","['2.39', '1.26', '2.65', '5.49']"
6,Accel,5,-112.29,1.55,"['-0.50', '-5.87', '-8.48', '13.77']","['-1.39', '-7.95', '7.93', '13.26']","['-1.45', '-6.10', '-4.88', '30.10']"
7,KFA Corporation,0,5.38,0.71,"['52.28', '-23.96', '-13.11', '26.63']","['13.20', '-9.58', '-6.47', '9.22']","['14.92', '-14.05', '-7.17', '11.09']"
8,Omni Axs Soft,0,-171.00,0.25,"['--', '--', '--', '--']","['-1.35', '-1.38', '-0.67', '-0.47']","['-1.34', '-1.36', '-0.66', '-0.46']"
9,Cressanda Sol,0,0.00,0.62,"['--', '--', '--', '--']","['0.01', '-0.35', '-0.37', '-0.03']","['0.01', '-0.35', '-0.37', '-0.03']"
10,Otco Intl,1,9.22,1.65,"['2,713.00', '115.61', '-2.66', '57.29']","['18.04', '4.26', '-38.28', '56.03']","['22.16', '4.30', '-27.56', '71.41']"
11,Nimbus Projects,-1,-0.56,-0.22,"['-4.41', '1.63', '-0.80', '-0.02']","['0.00', '-66.75', '0.00', '-24.66']","['-24.49', '48.77', '-5.85', '-0.12']"
12,Educomp Sol,-20,-0.02,-0.02,"['-19.39', '-0.28', '-0.36', '-0.30']","['0.00', '0.00', '-263.38', '-238.20']","['32.33', '27.43', '-16.69', '-42.63']"
13,Cranes Software,0,0.00,-0.03,"['-101.51', '-14.56', '108.16', '-57.53']","['0.00', '0.00', '0.00', '0.00']","['4.69', '0.66', '-12.76', '13.23']"
14,Xtglobal,-5,91.54,4.72,"['--', '71.77', '1.73', '-6.03']","['5.21', '4.02', '-1.63', '0.00']","['4.65', '2.81', '-4.45', '15.22']"
15,IO System,0,-5.12,-1.06,"['-1.48', '8.40', '-0.68', '-0.94']","['0.00', '-142.47', '0.00', '0.00']","['308.74', '5,877.34', '95.83', '147.06']"
16,Nihar Info,0,7.79,0.28,"['3.90', '4.26', '1.27', '--']","['3.56', '3.05', '0.12', '3.20']","['4.69', '4.84', '0.51', '3.90']"
17,WEP Solutions,0,-34.29,0.94,"['0.11', '0.36', '-2.01', '-0.88']","['-2.75', '-5.10', '-7.23', '-3.49']","['0.32', '0.95', '-4.43', '-1.90']"
18,Sasken Tech,4,11.47,2.33,"['320.63', '159.82', '--', '--']","['20.28', '16.57', '12.95', '13.27']","['26.27', '22.88', '15.67', '15.84']"
19,Nxtdigital,-13,-34.48,13.35,"['0.20', '1.20', '-2.13', '-0.55']","['-35.24', '-140.48', '-49.46', '-19.17']","['4.60', '21.98', '-17.83', '-5.37']"
20,ORCHASP,0,77.50,0.15,"['1.53', '3.96', '6.90', '311.77']","['0.21', '1.71', '6.44', '15.90']","['0.98', '2.52', '8.68', '13.01']"
21,Osiajee,0,0.00,1.46,"['--', '--', '--', '--']","['5.66', '4.16', '7.79', '0.52']","['7.60', '5.55', '9.76', '0.65']"
22,Saksoft,47,7.88,1.38,"['17.97', '11.21', '11.88', '7.49']","['17.52', '18.64', '20.78', '14.75']","['21.33', '24.04', '26.49', '19.43']"
23,Expleo Solution,19,10.71,2.62,"['65.78', '49.79', '800.52', '167.95']","['24.98', '26.21', '26.07', '24.86']","['33.16', '34.35', '38.41', '37.48']"
